Job,Company,Location,Publication date,Company's rate
Consultant analyste comptable / freelance,Siderlog Atlantique,Niort (79),5,Not specified
Business analyst décisionnel sénior informatica/ datastage/...,Ilyeum,La Défense (92),5,Not specified
Corporate finance analyst,British American Tobacco,La Défense (92),5,"['4,4']"
Data scientist,Askills,Lyon (69),5,Not specified
Icloud drive - data analytics engineer,Apple,Paris (75),5,"['4,2']"
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
