,Family,Genus,CommonName,Average_Weight
514,Cercopithecidae,Presbytis,Siberut_Langur,6.45
515,Cercopithecidae,Presbytis,Black_Sumatran_Langur,6.42
516,Cercopithecidae,Presbytis,Thomas_s_Langur,6.73
517,Cercopithecidae,Procolobus,Olive_Colobus,4.45
518,Lemuridae,Prolemur,Greater_Bamboo_Lemur,2.24
519,Lemuridae,Prolemur,Greater_Bamboo_Lemur,1.72
520,Indriidae,Propithecus,Silky_Sifaka,6.1
521,Indriidae,Propithecus,Silky_Sifaka,5.27
522,Indriidae,Propithecus,Coquerel_s_Sifaka,3.73
523,Indriidae,Propithecus,Coquerel_s_Sifaka,3.84
524,Indriidae,Propithecus,Crowned_Sifaka,3.9
525,Indriidae,Propithecus,Decken_s_Sifaka,2.78
526,Indriidae,Propithecus,Decken_s_Sifaka,2.78
