;CommonName;TrophicGuild;Fruit;Leaves;Flowers;Seeds;Animal;Gums;Nectar;Other;Country
347;Hainan_Crested_Gibbon;Frugivore;64.8;28.8;0.6;;0.3;NI;NI;5.5;China
348;Northern_White_cheeked_Crested_Gibbon;Folivore_frugivore;30.4;68.8;0.3;NI;0.5;NI;NI;NI;Laos
349;Eastern_Black_Crested_Gibbon;Frugivore;86.6;4.7;NI;NI;0.5;NI;NI;8.2;Vietnam
350;Southern_White_cheeked_Crested_Gibbon;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
351;Bangka_Slow_Loris;;;;;;;;;;
352;Bengal_Slow_Loris;Gummivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
353;Bornean_Slow_Loris;;;;;;;;;;
354;Sunda_Slow_Loris;Omnivore;22.5;NI;NI;NI;2.5;43.3;31.7;NI;Malaysia
355;Javan_Slow_Loris;Gummivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
357;Kayan_River_Slow_Loris;;;;;;;;;;
358;Philippine_Slow_Loris;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
359;Pygmy_Slow_Loris;Gummivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
360;Thick_tailed_Greater_Galago;Omnivore;21;NI;NI;NI;5;62;8;4;South Africa & Zimbabwe
363;Bonobo;Omnivore;49;21;6;9;NI;NI;NI;15;Democratic Republic of Congo
364;Chimpanzee;Omnivore;60.7;10.8;1.1;6.3;1.8;NI;NI;19.3;Guinea
365;Olive_Baboon;Omnivore;46;7;NI;4;1;NI;NI;42;Uganda
366;Yellow_Baboon;Omnivore;10.1;12.5;3.6;14.7;2;8.1;NI;49;NI
367;Hamadryas_Baboon;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Ethiopia
368;Kinda_Baboon;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
369;Guinea_Baboon;Omnivore;60;NI;NI;17;1.2;NI;NI;21.8;Senegal
370;Chacma_Baboon;Omnivore;34;23;10;NI;4;NI;NI;29;South Africa & Lesotho
376;Milne_Edwards_s_Potto;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
377;East_African_Potto;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Kenya
379;West_African_Potto;Frugivore;65;4;NI;NI;10;21;NI;NI;Gabon
380;Montagne_D__Ambre_Fork_marked_Lemur;Gummivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
381;Masoala_Fork_marked_Lemur;Gummivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
384;Pale_Fork_marked_Lemur;Gummivore;0.47;NI;NI;NI;9.43;87.6;NI;2.5;Madagascar
385;Sambirano_Fork_marked_Lemur;;;;;;;;;;
386;Upper_Guinea_Red_Colobus;Folivore_frugivore;6;52;16;25;NI;NI;NI;1;Sierra Leone
387;Bouvier_s_Red_Colobus;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
