,Family,Genus,CommonName,Diet
354,Lorisidae,Nycticebus,Sunda_Slow_Loris,Omnivore
355,Lorisidae,Nycticebus,Javan_Slow_Loris,Gummivore
356,Lorisidae,Nycticebus,Javan_Slow_Loris,Omnivore
357,Lorisidae,Nycticebus,Kayan_River_Slow_Loris,
358,Lorisidae,Nycticebus,Philippine_Slow_Loris,Omnivore
359,Lorisidae,Nycticebus,Pygmy_Slow_Loris,Gummivore
360,Galagidae,Otolemur,Thick_tailed_Greater_Galago,Omnivore
361,Galagidae,Otolemur,Garnett_s_Greater_Galago,
362,Galagidae,Otolemur,Garnett_s_Greater_Galago,Omnivore
363,Hominidae,Pan,Bonobo,Omnivore
364,Hominidae,Pan,Chimpanzee,Omnivore
365,Cercopithecidae,Papio,Olive_Baboon,Omnivore
366,Cercopithecidae,Papio,Yellow_Baboon,Omnivore
367,Cercopithecidae,Papio,Hamadryas_Baboon,Omnivore
368,Cercopithecidae,Papio,Kinda_Baboon,Frugivore
369,Cercopithecidae,Papio,Guinea_Baboon,Omnivore
370,Cercopithecidae,Papio,Chacma_Baboon,Omnivore
371,Galagidae,Paragalago,Kenya_Coast_Dwarf_Galago,
372,Galagidae,Paragalago,Mozambique_Dwarf_Galago,
373,Galagidae,Paragalago,Mountain_Dwarf_Galago,
374,Galagidae,Paragalago,Rondo_Dwarf_Galago,
375,Galagidae,Paragalago,Tanzania_Coast_Dwarf_Galago,
376,Lorisidae,Perodicticus,Milne_Edwards_s_Potto,Frugivore
377,Lorisidae,Perodicticus,East_African_Potto,Omnivore
378,Lorisidae,Perodicticus,West_African_Potto,Frugivore
379,Lorisidae,Perodicticus,West_African_Potto,Frugivore
380,Cheirogaleidae,Phaner,Montagne_D__Ambre_Fork_marked_Lemur,Gummivore
381,Cheirogaleidae,Phaner,Masoala_Fork_marked_Lemur,Gummivore
382,Cheirogaleidae,Phaner,Masoala_Fork_marked_Lemur,Gummivore
383,Cheirogaleidae,Phaner,Masoala_Fork_marked_Lemur,Omnivore
384,Cheirogaleidae,Phaner,Pale_Fork_marked_Lemur,Gummivore
385,Cheirogaleidae,Phaner,Sambirano_Fork_marked_Lemur,
